"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1CF",7.86476161492397,-0.471270484198786,0.155831864667757,-3.02422412260524,0.00249271699363711,0.0364137100527792
"AATF",6.64625663690613,-0.423507848185127,0.138246440374494,-3.06342678363284,0.00218817743118006,0.0338352754917044
"ABCF3",5.74718894586145,-0.445940993822205,0.153474014594752,-2.90564493930593,0.00366497066596122,0.0448907432273143
"ABHD11",30.4332863760262,-0.437521001973223,0.111305494924637,-3.93081224129555,8.46593681357864e-05,0.00442283671165328
"ABHD17A",6.79736691381523,-0.461929264255444,0.120769185450106,-3.82489343232578,0.000130828665348068,0.00579165883502793
"AC005154.6",3.49639475907684,-0.43395374789859,0.145513789609002,-2.98221734905422,0.00286168756891566,0.0397400912237476
"AC009133.12",4.64465579742451,-0.817288847025119,0.212689801002024,-3.84263299497536,0.000121721416636766,0.00552881497129812
"AC016683.6",6.87024315570796,-0.938639895185388,0.177672883994805,-5.28296650609236,1.27108637302832e-07,5.03870193599092e-05
"ACADVL",87.155040777217,-0.304883760887673,0.0931593873391229,-3.27271109864454,0.00106521295103436,0.0222775111414164
"ACSF2",13.2186232300252,-0.396448163618687,0.130361368488234,-3.04114760543088,0.00235678263080943,0.0353760780091033
"ACSS2",21.3150920184008,-0.400346570427138,0.12471078200887,-3.21020014451247,0.00132642579651867,0.0255358926521839
"ADAP1",9.68608700776481,-0.503245359485375,0.126639570521132,-3.97383975178122,7.0723154896241e-05,0.00404430605243636
"ADC",1.80712090785594,-0.85613947426816,0.191959446847381,-4.46000177812995,8.19589729532921e-06,0.00100671014524741
"ADCY9",2.16631648309821,-0.620504496926733,0.202809776520333,-3.05953937513719,0.00221677645584891,0.0340361047032718
"ADIPOR2",8.09340718752587,-0.471746254816535,0.164277685703871,-2.87163927830655,0.00408348792939139,0.0483832886239628
"AHNAK",34.8422041765483,-0.84774886854374,0.211807839154443,-4.002443308652,6.26916925654426e-05,0.0038566845097127
"AJ271736.10",6.44670881263314,-0.421496089068865,0.141420546447727,-2.98044449449685,0.00287830394829697,0.0397588847434772
"AKAP9",33.2238422556364,-0.56713735724223,0.127380506620922,-4.452308852327,8.49518543512185e-06,0.00102897933582913
"AKT1S1",5.86101495202977,-0.439377957810105,0.123613722614692,-3.55444321646766,0.000378780295174259,0.0115099057638143
"AKT2",5.38017921002829,-0.465769277423539,0.1176833117441,-3.95781925678931,7.56371556602916e-05,0.00411827974114218
"AL138764.1",2.09976841877667,2.01241371537278,0.441778304419498,4.55525700388822,5.23215681298002e-06,0.000735961928483851
"ALDH2",84.8722487971414,-0.426209829803662,0.096751533718002,-4.40519972578336,1.05686456846015e-05,0.00119830089110703
"ALDOA",298.942266259596,-0.674003473679635,0.127530217689289,-5.28504918984578,1.25670984292263e-07,5.03870193599092e-05
"ALKBH7",96.8941085867368,-0.310051886064793,0.0992679842753793,-3.12338251177417,0.0017878522786896,0.0302167824078526
"AMDHD2",4.76275425810857,-0.534697548934425,0.173241248877408,-3.08643323919234,0.00202573430449578,0.0323560968306002
"ANAPC2",5.19115699472689,-0.49660960882586,0.156873915482754,-3.16566082575057,0.00154731099033789,0.0277127444982302
"ANKLE2",4.99043358567868,-0.552774193266785,0.1200357515666,-4.60507962046695,4.12308079564217e-06,0.000638769543549691
"ANKRD10",8.97853101669288,-0.386235130285879,0.119620036994196,-3.22884978128388,0.00124289162235621,0.0245788159604728
"ANO9",14.1503826572499,-0.342901447913285,0.11542241597095,-2.97083928653502,0.00296987152445202,0.0404691399449157
"ANXA4",46.0403388010849,-0.544395356685106,0.176961995478627,-3.07634051714146,0.00209558374037723,0.0332283378178723
"AP2M1",46.1692071451617,-0.333451844884028,0.107708607510951,-3.09586998281567,0.00196236386526292,0.0319286852032797
"AP2S1",63.6338519135746,-0.320151732912931,0.108366693198894,-2.95433701502113,0.00313341615629208,0.0412454145877979
"AP3D1",8.96036211244839,-0.407913382240716,0.103097295988884,-3.95658662361713,7.60283268345248e-05,0.00411827974114218
"AP4M1",5.28926580886236,-0.372738457320006,0.125447447228532,-2.97127176004606,0.00296569222212395,0.0404691399449157
"AP5Z1",3.25129649724485,-0.4112022513708,0.12873900283013,-3.19407671592251,0.00140278833949458,0.0263090690510371
"APOBR",15.2780933851872,-0.449070545681599,0.153523912294595,-2.92508534318669,0.00344361768305018,0.0433985401934691
"APOL2",2.793299550203,-0.757270393320967,0.256721159074629,-2.94977786813758,0.00318002473225222,0.04151646061373
"ARF5",42.7825183415795,-0.374911777462504,0.124372881079877,-3.01441740520364,0.0025747330560817,0.0370532128417302
"ARFGAP1",5.09909613620113,-0.389843225117229,0.122856406594323,-3.17316154626357,0.00150788597266153,0.0274535982621737
"ARFIP2",10.685500905958,-0.409443808393901,0.132104381106916,-3.09939613632137,0.00193915554812226,0.031848164849669
"ARFRP1",8.22561499950849,-0.370737923440663,0.113410309311807,-3.26899666961816,0.00107929571883714,0.0224210474635809
"ARHGAP4",4.10269640228744,-0.78555099976869,0.224376846334809,-3.50103414233977,0.00046345646472409,0.0129131112743092
"ARHGEF16",11.2103014576412,-0.446326150139847,0.142945634974936,-3.12234892809497,0.00179414158781196,0.0302644270547546
"ARHGEF2",5.47523520547069,-0.531236762416355,0.150598811205256,-3.52749638702205,0.000419509486495881,0.0122359271964233
"ARHGEF7",4.6276199089047,-0.38547320314541,0.133491308172168,-2.88762772965152,0.00388158970953874,0.0468206692349756
"ARL16",10.2203558003223,-0.437798133916273,0.121338890455965,-3.60806112756695,0.000308493816031889,0.010001392452097
"ARL6IP4",54.276425891165,-0.468306014297652,0.148906580049389,-3.14496521337287,0.00166106579977387,0.0286287645055888
"ARL6IP5",21.900565236414,-0.560223682323993,0.131055024864875,-4.27472111734451,1.91376691870125e-05,0.00178152988317772
"ARMC7",3.19523558852663,-0.495220542878462,0.169890413279773,-2.91494106888151,0.00355755712251174,0.0441851759173947
"ARRDC1",16.3744273603716,-0.444834305369048,0.128182580291249,-3.47031791962934,0.00051984266414649,0.0137751465494366
"ARSD",10.5657620849678,0.597370787458971,0.208685978582391,2.86253437589303,0.00420267668568213,0.0493611104611889
"ASCC2",10.9095663892955,-0.416877402147016,0.102223871215179,-4.07808271386531,4.54086130204087e-05,0.00302536976263855
"ASNA1",24.9557189772021,-0.526440858152774,0.103513388898177,-5.08572720646426,3.66220118866503e-07,0.000106460188554492
"ASPSCR1",5.84504804412911,-0.430087284080679,0.136845649339318,-3.14286414041742,0.00167303472777102,0.0287215272852186
"ATF3",16.8981392301788,-0.638762543545471,0.220393228457787,-2.89828570512464,0.00375208619724891,0.0457010387237539
"ATF4",41.9198307435944,-0.527019177444124,0.120670390967638,-4.36742744610367,1.25718538493781e-05,0.00138783718253704
"ATF6B",15.9031070404732,-0.417725552069991,0.10049081951773,-4.15685287546383,3.22661631487622e-05,0.00250715491951175
"ATG4D",12.8536474046782,-0.436732267195301,0.14084563421515,-3.10078668486214,0.00193007277509014,0.031848164849669
