,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CLCA1,19.60022222,3.607749554,0.62300012,5.790929149,7.00E-09,4.84E-06
DEFA5,5.931281234,3.346694433,1.017721748,3.288417919,0.001007522,0.039371451
MS4A12,20.19664984,2.493456722,0.508558192,4.902991955,9.44E-07,0.000372832
UBBP4,3.924199733,1.735979539,0.439787214,3.947316988,7.90E-05,0.006828849
IRF1,7.781739581,1.726996876,0.397494037,4.344711408,1.39E-05,0.002142243
CASP1,5.504067603,1.384135659,0.404461435,3.422169677,0.000621235,0.028159273
RP11-665N17.4,5.178693012,1.347708615,0.357976247,3.764798992,0.000166683,0.01200455
VSIG2,15.52649759,0.937999165,0.249736697,3.755952469,0.000172683,0.01200455
KTN1,13.3139315,0.831954318,0.252137196,3.299609623,0.000968194,0.038797921
MT-ND6,7.89678848,0.70745623,0.17853639,3.962532407,7.42E-05,0.006614499
RPL36AL,100.052017,-0.950087945,0.273689745,-3.47140498,0.000517743,0.02701053
HERPUD1,14.30906231,-1.010248955,0.309060398,-3.26877517,0.001080141,0.040773346
SSBP1,15.4636265,-1.044563105,0.322708603,-3.236861665,0.00120852,0.043396847
SPCS1,24.0219006,-1.067464229,0.31154403,-3.426367144,0.000611713,0.028159273
UQCRH,100.192111,-1.070342691,0.328985736,-3.253462303,0.001140079,0.041477856
RPL29,275.1153003,-1.072449926,0.320808905,-3.342955601,0.000828912,0.035811572
MT1E,33.78221688,-1.078434507,0.305105666,-3.534626283,0.000408352,0.023042734
S100A6,1250.386676,-1.081052886,0.327590967,-3.300008227,0.00096682,0.038797921
TMSB10,605.8673115,-1.085660694,0.283355476,-3.831444195,0.000127393,0.009784511
C20orf24,20.25689491,-1.091236622,0.341816974,-3.192458844,0.00141067,0.049038862
SERPINB6,23.69270241,-1.097569991,0.319830954,-3.431719098,0.000599768,0.028159273
ANAPC11,23.89775245,-1.119483708,0.31627183,-3.539625097,0.000400696,0.023042734
ENO1,60.32826469,-1.156663578,0.336745901,-3.434826002,0.000592934,0.028159273
RPL27,135.348876,-1.169275232,0.336213922,-3.477771613,0.000505601,0.026884335
