"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC096579.7",3.70343771692251,-1.04838341576364,0.192657236912043,-5.44170274923164,5.27736831350907e-08,3.04548129758753e-05
"ACKR3",0.865915097916615,2.0545986278527,0.522365625831449,3.93325771500068,8.38023045406024e-05,0.017452674648699
"AHNAK",7.59123506512595,-0.890902851122929,0.199623923450575,-4.46290622748686,8.08554435666331e-06,0.00223969578679574
"AIMP1",2.74578102783394,0.625313491338285,0.171834685578412,3.6390411472132,0.000273655076032285,0.0451205095600851
"ATXN8OS",3.37751186147959,3.04276054273919,0.363991376551749,8.35943030179618,6.30218453505731e-17,1.0910656976318e-13
"C14orf166",8.32415840355585,0.446932813967715,0.120420545757036,3.71143322061885,0.000206089040845485,0.0356791651963746
"CASK",1.25773343221083,1.80407648796646,0.374026790363942,4.82338841613733,1.41139739961902e-06,0.000542995944020094
"COX6A1P2",1.97691779551183,-0.982027302538756,0.253014138231483,-3.88131394317695,0.000103893620171449,0.0205560948482082
"COX7A2L",11.0884667498739,0.450100343057194,0.110658126291719,4.06748567087275,4.75231298147903e-05,0.010284302311482
"CSDE1",6.5045967756178,0.529425682813305,0.138535017696058,3.82160187090638,0.00013258762199415,0.0235428021104996
"EIF1AX",6.73604260785461,0.75080238513808,0.143119605670696,5.24597857588848,1.55454967411993e-07,7.17683766218701e-05
"EIF1AY",0.892947695197595,-3.39097133963925,0.326419738446425,-10.3883771115631,2.80078029310133e-25,6.46513450990891e-22
"EWSR1",6.36111062648881,0.419049344421816,0.114357133188675,3.66439182880213,0.000247926992088271,0.0418754736636896
"FN3KRP",1.76765218582196,1.00971082645626,0.23138644493912,4.36374233902044,1.27856158566619e-05,0.00316215677883513
"HEXIM1",3.01895742264018,1.27612527633318,0.297714826988041,4.2864014844126,1.81590676423701e-05,0.00419171811411375
"ID2",18.3270594548813,1.0151485591014,0.219670997503177,4.62122251293877,3.81485337708902e-06,0.00110074415151423
"IGHA2",46.9608705150857,-1.0371572213436,0.171267632033723,-6.05576902668555,1.39748402908501e-09,1.0752863223793e-06
"IGHV1-18",0.587894447181512,-1.00834432629285,0.279538359622737,-3.607176945782,0.000309546574848035,0.0498513960656429
"IGHV3-21",0.709842357169421,-1.5202920517644,0.286496849131931,-5.30648785971225,1.11757600584356e-07,5.95324141574359e-05
"IGHV3-23",1.86223246326722,-1.61907796865169,0.262852082183129,-6.15965433944583,7.29038977530022e-10,6.31074364924425e-07
"IGHV4-39",1.2259519921895,-1.25366689582195,0.269555630936098,-4.65086517194348,3.30545386924226e-06,0.00099522904541316
"IGKV3-11",1.33656148399282,-1.57810307620574,0.298862654611795,-5.28036223948957,1.28928732186502e-07,6.37736764565378e-05
"IGKV3-20",2.25526091393594,-1.99320216909404,0.264075783328926,-7.54784154748246,4.42530849042846e-14,5.10754354936951e-11
"IGKV4-1",3.46660100120145,-1.10122475021198,0.197016865791052,-5.58949481705742,2.27731163461667e-08,1.57703830697204e-05
"IGLC3",7.86981500183403,-0.625740013414677,0.148717804865627,-4.20756622907433,2.58135762191158e-05,0.00576641984894765
"IGLV3-21",1.22792764303755,-2.06790366588128,0.326353301215077,-6.33639573487406,2.35202216940476e-10,2.32682193187543e-07
"JPX",2.29714967774507,0.783470120616043,0.180670792344397,4.33645145653971,1.44801387456748e-05,0.00345775726944132
"MALAT1",815.72267396882,0.630385330218942,0.143349583662061,4.39753861933105,1.09485408204242e-05,0.00291610173774761
"MT-ND3",13.2160403928551,1.39887182548356,0.29237928997257,4.78444224149662,1.71462792585011e-06,0.000624936757184844
"MT-RNR1",251.079525138134,-0.535020636628034,0.139693495048819,-3.82996099024552,0.000128163574807247,0.0233561251457943
"MTRNR2L1",8.72995752681182,-4.77274140112224,0.617600201906899,-7.72788186659582,1.0935074728378e-14,1.51450784988035e-11
"NACA2",4.19393511351666,0.97967462026555,0.254046434702347,3.85628171248845,0.000115124807277681,0.0221455358443872
"NDUFC2",18.1900811689982,0.353870407636999,0.0922611335231958,3.83553067389998,0.000125293467057769,0.0233561251457943
"PSPH",0.654952256530181,1.85475699844872,0.375666454731317,4.93724412996968,7.92342601710381e-07,0.000342935782302774
"RNA18S5",44.9116034270313,-0.758572450400665,0.155387899160791,-4.88179874042647,1.05122516604535e-06,0.000428219663227298
"RPL39",13.1827282991421,1.32155477750552,0.283106877337541,4.66804194208912,3.04083833351483e-06,0.000957172975435919
"RPS10",26.1269228099727,-0.585514172865881,0.123190006079393,-4.75293566012598,2.00484161323811e-06,0.000694176408583697
"RPS4X",183.164795613659,0.605662489599601,0.109918373336123,5.51011146924025,3.58606529339618e-08,2.25759110516078e-05
"RPS4Y1",14.544239380398,-7.89300397114021,0.2271336164025,-34.7504878236655,1.36267708881955e-264,9.43653884007541e-261
"SEP15",12.5291883486713,0.561302613250993,0.128426566633856,4.37061137709356,1.23899136369564e-05,0.00316215677883513
"UBBP4",3.69802741289619,1.06921521813538,0.225711788844549,4.73708184941888,2.16817613285383e-06,0.00071498189142918
"XIST",3.78625219102626,4.97792930051173,0.281383126081509,17.690930404511,4.92553891042889e-70,1.705467847736e-66
"ZFP36L1",25.058830986023,0.584423529809978,0.148787505426261,3.92790730737546,8.56882221019159e-05,0.017452674648699
