"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACYP1",5.94126556203087,-1.51146657766042,0.455781063587873,-3.31621187980535,0.000912466206559717,0.037656254643845
"ANAPC11",23.8977524473301,-1.11948370835595,0.316271830429709,-3.53962509666112,0.000400695813191352,0.0230427344370085
"ANXA1",16.0594120525855,-2.81331371964278,0.819769027970599,-3.4318370463536,0.000599507663904906,0.0281592731881917
"ANXA2",154.319896788646,-1.71420840406192,0.353492630271939,-4.84934693756754,1.23868607790884e-06,0.000380551889490884
"C10orf99",35.8214883381015,1.4037537851809,0.308950750293025,4.543616689228,5.52971716604119e-06,0.00127413899700866
"C19orf10",32.8729544101611,-1.48643064703403,0.352350228457994,-4.21861695262458,2.4580546061478e-05,0.00323643856476127
"C20orf24",20.2568949063394,-1.0912366217533,0.341816974067691,-3.19245884359505,0.00141067046246962,0.0490388620767804
"C21orf59",5.78670799683232,-1.514472554907,0.438752886052643,-3.45176659356558,0.000556929269857418,0.0281592731881917
"CASP1",5.50406760251789,1.38413565928164,0.404461435295059,3.42216967675027,0.000621235321692474,0.0281592731881917
"CLCA1",19.6002222213186,3.6077495543847,0.623000119974989,5.79092914866459,6.99981025616189e-09,4.8386188395719e-06
"CRELD2",9.30244617076334,-1.15692212281839,0.362581770695105,-3.1907895441088,0.00141884591903885,0.0490388620767804
"DEFA5",5.93128123430114,3.34669443348471,1.01772174809857,3.28841791947298,0.00100752158149259,0.0393714511316752
"EMC6",22.259787031933,-1.68218739784764,0.415834090365003,-4.04533307110796,5.22487852596955e-05,0.00531839980808846
"ENO1",60.3282646921498,-1.15666357774211,0.336745901282941,-3.43482600184719,0.000592934408153277,0.0281592731881917
"FXYD5",9.27270274916686,-2.87955564100223,0.675129743676401,-4.26518853297988,1.99733470515674e-05,0.00290664761039915
"GABARAP",6.51729554581573,1.55853396375172,0.377774448521945,4.12556743805607,3.6982179155941e-05,0.00444590110287725
"GAPDH",360.942413943779,-1.17883023215511,0.286460627809382,-4.11515621246047,3.86917286941297e-05,0.00445760957663619
"HERPUD1",14.3090623053556,-1.01024895499382,0.309060397984303,-3.26877517010489,0.00108014092177334,0.0407733464256897
"HLA-DRB5",5.50858179474369,-1.87097063301839,0.525985825361782,-3.55707424573943,0.000375008193439491,0.022061652231068
"HM13",8.86763989217825,-1.19614406303292,0.359026683311323,-3.33162998360126,0.000863389689038326,0.0367272690798611
"HMGA1",21.1152208469065,-1.61311027068857,0.370683048299246,-4.35172387323828,1.35071306226809e-05,0.00214224337516947
"HNRNPA0",26.3116227999773,-1.43097946704642,0.438670473493067,-3.26208293813748,0.00110596780539846,0.0407733464256897
"HSP90AA1",112.814217053465,-1.48393315941988,0.381821200397445,-3.88646088241099,0.000101716308430316,0.00827192920028894
"IDH2",48.8792973585531,-1.49278564877031,0.464662234587672,-3.21262529565151,0.00131527763913626,0.0466249060539971
"IFT43",3.78623902771861,-1.21628347274741,0.331995509513392,-3.66355398761303,0.00024873975880283,0.0156310325702233
"IGHG1",15.6222425265399,-3.21461565241092,0.980115565560333,-3.27983328228556,0.00103868446405199,0.0398883686542188
"IGHG3",6.07620832108985,-2.84509741202212,0.871412441045457,-3.26492631733463,0.00109492555177439,0.0407733464256897
"IGHG4",3.95766709353372,-3.41764681012328,0.808800591606552,-4.22557407300442,2.38332409661504e-05,0.00323643856476127
"IGKC",7.80104940934868,-2.53571565769013,0.577001415138348,-4.39464374118067,1.10954566437237e-05,0.00205256725756961
"IRF1",7.7817395806341,1.72699687644638,0.397494036873553,4.34471140757201,1.39458881566186e-05,0.00214224337516947
"ITGAE",5.3177138406665,-1.59740490876108,0.445239654626122,-3.58774177493795,0.000333554387180852,0.0200495191425012
"KRT19",279.628897560557,-1.37994210549006,0.356411442579989,-3.87176712257313,0.000108049159086716,0.00853588356785053
"KRT7",9.53139003850212,-2.99798763174138,0.87232727287498,-3.43676934673926,0.00058869669634051,0.0281592731881917
"KTN1",13.3139314980698,0.831954318045982,0.252137195950436,3.2996096228877,0.000968194054363716,0.0387979211639953
"LDHA",79.4416246940965,-1.29471732907592,0.393836136566893,-3.28745183304429,0.00101098482110269,0.0393714511316752
"LGALS1",7.62742467481038,-2.33996401296128,0.623236893897958,-3.75453384719614,0.000173664377476953,0.0120045500930944
"LYZ",26.2025466954549,-2.56075177932813,0.547470612814014,-4.67742326143462,2.90502233342418e-06,0.000730216977447077
"MS4A12",20.1966498436319,2.49345672194193,0.50855819160804,4.90299195468215,9.43878515824265e-07,0.000372832013750585
"MT-ND6",7.89678848022338,0.707456229971729,0.178536389697088,3.96253240682209,7.41589370984743e-05,0.00661449874442843
"MT1E",33.7822168810333,-1.07843450670065,0.305105666166332,-3.53462628292432,0.00040835225584572,0.0230427344370085
