"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CASK",0.670902846336664,-1.83284041654495,0.471423712544085,-3.88788337916616,0.000101122188968253,0.0239889411011504
"CD99",20.910389579784,-0.740829011566905,0.17400635412003,-4.25748252305706,2.06741816817099e-05,0.00634697377628495
"CDKN1A",3.35803053777796,-2.34811025306651,0.424455002559247,-5.53205932056074,3.16492823757488e-08,2.75296007865055e-05
"CLEC3B",0.800639907176319,2.14086035581349,0.584988746731789,3.65966075035466,0.000252549375240652,0.0439351729793655
"COX6A1P2",1.37920480179545,1.56807372342135,0.415774023112117,3.77145669583716,0.000162297326031214,0.0313714720206261
"CSNK1E",1.62925335505899,-1.2693793141948,0.33636247160636,-3.77384346158669,0.000160751649087433,0.0313714720206261
"CXCL3",1.32067594015128,-2.17099200314685,0.586716698666133,-3.70023898771329,0.000215396522166339,0.0387639465236595
"DEDD",0.667417132967331,-1.48858740953688,0.408808447224562,-3.64128339236393,0.000271282316871529,0.0456716907016938
"EIF5A",3.11248404095333,1.58856753136083,0.358552678506212,4.43049969108878,9.40149819613739e-06,0.00306665119285257
"GABARAP",2.94369547098606,1.68059973808642,0.378705429446068,4.43774925684227,9.09044258311117e-06,0.00306665119285257
"IER3",6.71470947871096,-1.47725680040896,0.395381098278636,-3.73628584381113,0.000186758361514472,0.034810424598001
"IGHA1",61.7381534164692,1.9780527352767,0.276938852081662,7.14256132864098,9.16076214925436e-13,1.59366725523195e-09
"IGHA2",7.28869471278189,2.12052640810894,0.31722121501625,6.68469291374574,2.31409379073606e-11,3.01931387346287e-08
"IGJ",10.7817900174198,1.63287850122509,0.326189884728093,5.00591397120188,5.5597585791784e-07,0.000362704750309151
"MT-ATP6",78.8195843493304,-1.0726677513684,0.230146957664729,-4.66079483410348,3.14990591123707e-06,0.00136994657922885
"MT-CO2",170.256138075916,-0.926091747124955,0.198527831078274,-4.6647955709536,3.08923999403862e-06,0.00136994657922885
"MT-ND2",96.8662829436753,-0.746242412417508,0.188997346839494,-3.94842798005654,7.8666074562873e-05,0.0195503925306493
"NR4A1",4.99661576817511,-2.09542002026589,0.401168982377525,-5.22328522969897,1.75776312701432e-07,0.000131053796569825
"NR4A2",1.58339717921589,-2.55462038154547,0.553633299555805,-4.6142823843781,3.94455822293805e-06,0.00158358841273182
"PHLDA1",13.5995075093246,-1.53868657477229,0.401535468526775,-3.83200662302061,0.000127102316788347,0.0288411735355818
"RCAN1",2.43614750202084,-2.16492131478269,0.570775606257364,-3.79294645925446,0.000148870263812266,0.0310781562734487
"RNA18S5",54.8173977945452,1.46881514134334,0.361260205922265,4.065809400716,4.78660443044133e-05,0.0124906442612367
"RPL17",16.701648447145,1.19802534414404,0.253348357767494,4.72876696222166,2.2588747113339e-06,0.00117890671184516
"RPL7",89.2273419006706,-0.357672868386016,0.0741354416374799,-4.8245867359235,1.40293855268237e-06,0.000813548478494364
"RPS4X",104.324518168798,0.456510382511524,0.0698810470166175,6.53267805794277,6.46039187381846e-11,6.74335703789171e-08
"RPS4Y1",8.85642740949399,-6.92283272220099,0.326763782272001,-21.1860466116112,1.28439643133852e-99,6.70326497515576e-96
"SAT1",20.7679135707144,-1.35086020995546,0.293769558040155,-4.59836689331442,4.25815630068381e-06,0.00158737983809063
"SH3PXD2A",1.06760832635889,-1.66634171445273,0.405819181635894,-4.10611866037372,4.02362844181814e-05,0.0110522720199205
"SNHG5",8.35051831004227,0.805100700023071,0.193428583893167,4.16226332126661,3.15108678516008e-05,0.00913640107319471
"WARS",8.16063774093242,1.00557999370407,0.264098846391845,3.80758949704797,0.000140327960771156,0.030515484469361
"XIST",2.24679678044702,4.4115132996088,0.357244093036822,12.3487368597417,4.94822309942444e-35,1.29123881779481e-31
