"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCF1",1.46472911371577,1.06735451102334,0.246045532056629,4.33803654998979,1.43761251453753e-05,0.00261062661761558
"AC096579.7",8.34996781753805,2.12985699870615,0.537977991808375,3.95900395766522,7.52629898080229e-05,0.00887387584690815
"AJ271736.10",1.09737888427129,-1.30350853421531,0.373681170397559,-3.48829065384406,0.00048611932768521,0.0343814290812308
"APOE",4.8583461245483,2.20458658499921,0.611584036874788,3.60471570884144,0.000312494809426128,0.024516798299004
"CCDC59",2.72065631709043,0.450324883293603,0.133243011610776,3.37972609482195,0.000725581008640695,0.0464302742576841
"CCNL1",5.45468034861574,0.584308259065322,0.154590549790427,3.77971525334147,0.000157007809733007,0.0159838708120617
"CDC5L",1.27856082032176,1.0143820924852,0.262538154354403,3.86375113735231,0.000111658981785642,0.0122989622724218
"CHMP4B",2.37386247862512,0.767848750164442,0.223557054161575,3.43468808463312,0.000593236230795941,0.039077982693313
"CHURC1",2.72708593676471,0.841864449714014,0.198005543498525,4.25172161768433,2.12133447751791e-05,0.0035633115886107
"CITED2",8.80150702822984,0.823178701432508,0.229332967579492,3.58944773671572,0.000331379257578275,0.0247393025740937
"CLK1",3.29013400256781,0.595360971113495,0.164581247172863,3.61742896800494,0.000297543950268128,0.0237999738315661
"CXCL14",3.51898476092938,1.48813252637417,0.414569673343836,3.58958366243046,0.000331206522172365,0.0247393025740937
"DDX3X",3.97368307952601,1.14974807553859,0.19040455925163,6.03844823914714,1.5560332376449e-09,1.04549873237361e-06
"DNAJC21",0.506168164988695,1.0359332427773,0.26191295823542,3.95525769231378,7.64522004403277e-05,0.00887387584690815
"DOCK8",1.97956232788247,0.786375413601816,0.198024302986871,3.97110557512707,7.1539865348428e-05,0.00887387584690815
"DUSP1",54.9392932871125,0.735359063326691,0.202093980964086,3.63869848977527,0.000274019387227073,0.0233980780531882
"DYNC1I2",1.35510031807437,0.924721748838774,0.261137042578616,3.54113587144721,0.000398408356329148,0.0290968015888646
"EIF1AX",5.22295947086227,0.801578152642595,0.166922123955427,4.80210851412746,1.57003565567033e-06,0.000440398801981851
"EIF1AY",1.52279350250014,-4.32696511002758,0.250925074633403,-17.244052298676,1.24029904253831e-66,4.16678463340746e-63
"EIF2S3",1.81255888553976,0.898422400456963,0.260483634120363,3.44905507592014,0.000562551949178411,0.0378902168063121
"EIF4A2",14.4435313855772,0.558471981799698,0.126989156540922,4.39779266995708,1.09357367134496e-05,0.00209934899936194
"EIF5A",3.9511294877356,1.59373703176828,0.245332909004201,6.49622196319771,8.23621150624938e-11,6.9173881388112e-08
"FAM107B",2.0272094297847,0.883498028499096,0.232478613598442,3.80034109298825,0.000144497054772002,0.0154107255716362
"FBXL3",0.99582641565336,1.10915757621523,0.262234026446836,4.22964781208549,2.34057449358942e-05,0.00383568781034812
"FOS",60.9304137652213,1.06641721336435,0.210937613929293,5.05560479944471,4.29028951432624e-07,0.00014413227623379
"GABARAP",3.19790972219723,1.26458281614906,0.314719778712965,4.01812311040802,5.86635471113923e-05,0.00772076763479102
"HERPUD1",23.8553937116094,1.0024348879246,0.267540562392913,3.74685198744711,0.000179067672999652,0.0174370390562995
"HIST1H4C",8.42275164857064,1.47886385911504,0.344482460755222,4.29300190167263,1.76273495999233e-05,0.00311679373583906
"HLA-E",34.1360694173648,0.463435611833242,0.114083643009134,4.06224415358245,4.86032035739621e-05,0.0067070539474869
"HSPD1",7.30672900013535,0.674624227052209,0.197786256739649,3.41087514457708,0.000647547363348421,0.0418352955224811
"IGHA2",58.126082968733,2.64221954982714,0.494808416035584,5.33988401207212,9.30060659621584e-08,4.16605171466495e-05
"IGHV3-7",0.48053665296771,1.66591466781956,0.483439771164228,3.44596114591002,0.000569032168211911,0.0378902168063121
"IGJ",101.293385969344,2.2714170470126,0.497457204987342,4.56605517869702,4.96987998914652e-06,0.00115146978093364
