"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC145212.1",0.773082288844139,1.24028189789928,0.300893962348774,4.12198998018324,3.75613542133581e-05,0.00895913141838566
"AL627309.1",0.312016024001975,1.87476543311351,0.458626546618168,4.08778219869239,4.35516740722512e-05,0.00960527181108916
"ARHGAP4",1.60086315173489,-1.25214432940558,0.293442415097819,-4.2670870500714,1.98041897494812e-05,0.00661404925994479
"ARSE",4.04181342902656,0.809825805203755,0.228350530706804,3.54641525332625,0.000390510323231203,0.047909240981722
"ATP5I",121.622778267187,1.01619634796672,0.213448142281672,4.76085824455536,1.92771418776263e-06,0.00115884538397351
"B3GNT7",14.2111744586834,1.82263783958203,0.498007606384182,3.65985944033148,0.000252353635157371,0.0345237809332137
"C4BPB",3.64005705461974,-2.12415398141162,0.533125914735507,-3.98433826362662,6.76684258463555e-05,0.0125165766761651
"C8orf33",9.00856722105681,1.78481183196326,0.364514898106134,4.89640297621961,9.76068054697613e-07,0.000733454138851838
"C8orf4",15.1287905723538,-1.85561459299453,0.417982004307376,-4.4394604884232,9.01846690820018e-06,0.00387246527276039
"C8orf59",7.10319698739242,-0.79706017769923,0.179263030034951,-4.44631655251966,8.73551972891086e-06,0.00387246527276039
"CBX3",12.6067703884429,0.852804511827749,0.213109580565884,4.0017183158225,6.2884135680878e-05,0.0121923016197651
"CFD",3.73178916488921,1.46382855027565,0.301230651536391,4.85949402163944,1.17686135720491e-06,0.000832317888098508
"COX6A1P2",30.1783212863957,1.70803768907143,0.362281191959398,4.71467392451013,2.42098134417725e-06,0.00132306630459287
"CTC-338M12.5",0.810115316159611,1.06845013016397,0.258914240197949,4.12665649192218,3.68075561619506e-05,0.00895913141838566
"CTD-2020K17.4",1.33487625991882,1.16120524838655,0.274454311105772,4.23096013215487,2.32695916728295e-05,0.00717359745339563
"CXCL1",7.8651495130736,1.83624211791115,0.52170140035383,3.51971859125884,0.000432004889399961,0.0499799501136644
"CXCL2",13.5285617068535,-2.3106258675312,0.527526254350653,-4.38011539420994,1.18616477792414e-05,0.00475375304166065
"CYP2S1",9.13963381027316,1.71482712055539,0.470863084288456,3.64188057585094,0.000270653632806198,0.0361563180803214
"DDX3Y",0.454703859069717,-2.0186005730198,0.53529652445469,-3.77099510421101,0.000162597863436584,0.0257225541065533
"EEF1G",4.67132861132669,1.41568446263973,0.339319742304752,4.17212524394843,3.01771675004754e-05,0.00788739314909165
"EIF1AY",3.68041681704967,-5.31560353728736,0.274417479364152,-19.3704991008738,1.36923859037402e-83,8.23117778603345e-80
"EIF5A",15.4686011835901,1.43121146614126,0.233554500115642,6.12795499736725,8.90157535307638e-10,1.78372734116729e-06
"EIF5AL1",2.75916566361843,2.28519317463494,0.403757751908503,5.65981250844888,1.51538461534455e-08,1.82194692302875e-05
"EIF5B",14.6804300513966,0.90771614065005,0.184328394227222,4.92445097487859,8.45975339289721e-07,0.000726511536020023
"ERCC8",0.312239657730215,1.31874577311321,0.324881510365168,4.05915920432324,4.92497283328711e-05,0.0105737407811805
"FAM84A",15.9684424017621,0.986919757693757,0.275618551020547,3.5807450334509,0.00034261586516296,0.0429090681963986
"FBXO44",0.360145719167556,1.45828525973628,0.391010707024791,3.72952769204814,0.000191839023254143,0.0287870285961006
"FN1",1.22827952446168,3.12931856428233,0.763715342066744,4.09749338780318,4.17648094129257e-05,0.00960527181108916
"GABARAP",23.364591971719,1.38124626418241,0.389088944863146,3.54994990841549,0.000385304458253493,0.047757891768884
"HLA-DQB1",3.06961526033158,2.59492477765699,0.580379068113143,4.4710860887752,7.78233609498234e-06,0.00374268107479891
"HOXD11",1.20886172581367,3.12103847787724,0.747460370955017,4.17552367878654,2.97301325528684e-05,0.00788739314909165
"IGHA1",13.4831313450049,2.9436314131255,0.61285734619531,4.80312658630904,1.56207060494159e-06,0.00104337638240071
"INSIG1",6.32032569206232,-1.96335085123469,0.438732083797423,-4.4750564723715,7.63911191945341e-06,0.00374268107479891
"INSL5",4.04265554890245,2.84200743177341,0.711525882130693,3.99424322171233,6.49012146440128e-05,0.0121923016197651
"IQCH-AS1",1.28823822803552,1.09812201002519,0.30316847227629,3.62215108246619,0.000292163393076474,0.0381813095104179
"JPX",3.63377547135068,0.839750317532059,0.214813018639001,3.90921519958379,9.2596449931898e-05,0.0166162256347942
"KDM5D",0.592375800271001,-2.31672790841626,0.424720784685799,-5.45470810930558,4.90533555540599e-08,5.36153176205875e-05
"KMT2E-AS1",1.88337709846193,1.16548830368995,0.323269702580923,3.60531251269426,0.000311777512957763,0.039877670620119
"LINC00649",0.822659602010808,1.84397836849514,0.375561303391922,4.90992642703348,9.11105696089755e-07,0.000730281585605808
"LIPE-AS1",0.992966029582518,1.32090447592993,0.317323883346593,4.16263806556027,3.14591806580383e-05,0.00804752615003393
"LRMP",14.0519255761976,4.82912290256384,1.29161217818205,3.73883351685399,0.000184876104376245,0.0281362709229823
"LRRC23",0.60017355466334,0.933687709842503,0.249150467917765,3.74748527524612,0.000178616318642185,0.0276155141362928
"LYRM1",1.66133339249233,0.666964540739429,0.154301098804025,4.32248730507441,1.54279963141286e-05,0.00545561175543435
"MARVELD1",3.84440180378883,1.62966161518342,0.377709378593271,4.31459134335737,1.598984106119e-05,0.00549273883081965
"MRPS21",23.8006254911372,0.961888389961265,0.192989929445696,4.98413773570461,6.22387341911717e-07,0.000575612539369583
"MT-CYB",4745.74503448003,-1.10401928462562,0.285777358871523,-3.86321466817795,0.000111904586435037,0.018686511704284
"MT-TG",1.40010910880069,3.04183096419732,0.833458743417908,3.64964791385253,0.000262599995195568,0.0354746038453518
"MT-TI",7.95206475510333,2.06795003572939,0.464891191215039,4.44824525567929,8.65746453154585e-06,0.00387246527276039
"MT1G",147.174774624757,-1.42295159598384,0.344201537622255,-4.13406519277513,3.56402304550999e-05,0.00892713522420139
"MT1H",22.771709662125,-1.6436545079462,0.445370913838873,-3.69052952690316,0.000223787709142146,0.0316541132590119
"MT1M",33.5594597836538,-1.69342397198391,0.414473605417061,-4.08572210594668,4.393994424103e-05,0.00960527181108916
"MT2A",120.077809895978,-1.10124478874735,0.311507868987792,-3.53520696708469,0.000407455885813413,0.0494832536882289
"MUC17",5.73293846215591,2.55642813816787,0.726357358333132,3.51951846957872,0.000432330933362813,0.0499799501136644
"NDUFA7",15.3017532570282,0.973238651408993,0.26594722177667,3.65951802356587,0.000252690070874391,0.0345237809332137
"NME1-NME2",4.15329850174487,1.57834415293698,0.406099237231617,3.88659718667922,0.000101659237229683,0.0172147747776405
"NMT1",3.45253647897433,1.32939412672506,0.302649844160058,4.39251548407211,1.12046647331261e-05,0.00464529945125433
"NTRK2",1.16398867969338,2.34046414094596,0.585687893641083,3.99609444954693,6.43960504856934e-05,0.0121923016197651
"NUDT2",3.34886074997366,0.5128975694341,0.132946949662602,3.8579115258812,0.000114360026596349,0.0188349397228479
"NUPR1",74.0292317325797,1.32506542457639,0.330866973537976,4.00482831636957,6.20625390636193e-05,0.0121923016197651
"PCCA",4.62369413568855,-1.00205780347077,0.275777239313049,-3.63357688969135,0.000279519098203033,0.0369303089856601
"PDZK1IP1",54.8337708589104,1.63661464998645,0.387643607603569,4.22195701898471,2.42190299628796e-05,0.00727963493109255
"PET100",24.0989053447288,0.995602715419048,0.23001116065766,4.32849741974419,1.50130091461747e-05,0.00545561175543435
"PILRB",1.56803970822241,-1.28899021460592,0.26943037130374,-4.78413108503192,1.71728588997745e-06,0.00108668043448415
"PLA2G2A",172.900896854374,1.73444081527281,0.421052911934883,4.11929419346005,3.80034685467578e-05,0.00895913141838566
"PNPLA4",5.34224280964948,0.89848989252801,0.206008324430795,4.36142517546587,1.29217987180787e-05,0.0049541640860939
"PON3",1.46992681032511,2.08278513051031,0.578603874704224,3.59967366546759,0.000318616784450835,0.0403234694679198
"PPFIA3",2.57152872416903,0.688152035711463,0.19056086535649,3.61119285654013,0.000304791899855997,0.039403365720093
"PRKX",1.16198490186592,1.13773211636628,0.299340100185713,3.80080088053829,0.000144229169535417,0.0234333419638422
"PROS1",1.13747090063063,1.79388907095334,0.485099932490791,3.69797839744576,0.000217323378874742,0.0311057021929883
"RP11-1000B6.3",0.737433073271123,1.40932744598579,0.382745515617144,3.68215273198792,0.000231272781204342,0.0323324726560442
"RPL17",66.0934883708371,1.01761302776197,0.253723790448239,4.01071190826926,6.053593995351e-05,0.0121303934343508
"RPL36",357.223260269419,0.481711533467329,0.101889468836369,4.72778530469073,2.26982000637995e-06,0.00129952599698601
"RPL36A",104.188702409872,0.64836753218413,0.160007781519897,4.05210000429576,5.07599583864253e-05,0.0107067891171928
"RPL37",176.612955737315,0.546685415538068,0.140349964859478,3.89515890570706,9.81343723057807e-05,0.0169917017709522
"RPL37A",262.325558142797,0.506072686635076,0.143481084573967,3.5271038557991,0.000420131932578003,0.0495220218175032
"RPL38",127.23460370075,0.515852265046925,0.138417643978466,3.72678114017875,0.000193940723304013,0.0287870285961006
"RPL9",257.786802329954,-0.345432476504476,0.0820869209100686,-4.20813051183779,2.57492140726093e-05,0.00737101906654719
"RPP21",3.68146183957137,1.18634581612459,0.294791018499667,4.02436214699643,5.71299467181853e-05,0.0116419211761482
"RPS16",264.853224298312,-0.422058765069777,0.101095387645618,-4.17485678524989,2.98173572846484e-05,0.00788739314909165
"RPS17",2.6585681344695,1.23617978527032,0.294487454873844,4.19773326439284,2.69599905386804e-05,0.00753813874991987
"RPS21",128.795052623077,0.44290491821026,0.113650378804101,3.89708263950174,9.73584046514393e-05,0.0169917017709522
"RPS27",469.197819742547,0.695121988051866,0.113260731526021,6.13736092541628,8.39036159021159e-10,1.78372734116729e-06
