"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CASK",1.22233222663435,-1.79112293510349,0.444064203781354,-4.03347741126505,5.49574658613583e-05,0.0189819567434599
"CAST",3.46729662164257,0.888114775597615,0.225941959402769,3.93072087161306,8.46915503772391e-05,0.02576851856478
"CD99",27.9646647234416,-0.582434264052963,0.134680754021321,-4.3245545236609,1.52840400067021e-05,0.00736308627322875
"CDKN1A",3.73239020524782,-1.39769566631874,0.322666601024704,-4.33170232642618,1.47960894286207e-05,0.00736308627322875
"CHPF",1.70995847961915,-1.23685131520081,0.337572761411937,-3.66395472794528,0.000248350700317801,0.0478571799512403
"CYB5R3",13.5596567718652,-0.55057891916497,0.147809554806953,-3.72492103020035,0.000195376374071812,0.0434411853272748
"EIF1AY",0.977667529753391,-3.05026215906071,0.373103239975306,-8.17538373363523,2.9492571223793e-16,5.68321847482492e-13
"EIF5A",4.27425503946611,1.25242403847532,0.310788929688396,4.02982191074509,5.58191262643202e-05,0.0189819567434599
"FABP1",2.32998065323367,2.60729055637446,0.540036065288935,4.8279933951809,1.37915666645619e-06,0.000996613086097901
"HIST1H4C",2.8669447444752,1.03133763905674,0.255926490489529,4.02981980131884,5.58196271646458e-05,0.0189819567434599
"IGHG3",2.0315642464666,1.59764950661224,0.434945117627628,3.67322092342706,0.000239512236692962,0.0477455255283454
"IGHM",5.79040298591901,-1.4186186939074,0.278273488496344,-5.0979297437673,3.43388208233034e-07,0.000397025446359034
"LGALS4",2.20917195546912,2.43507548620869,0.543242595899837,4.48248260461826,7.37796585769877e-06,0.00426520206233566
"MORF4L1",22.2285976173855,0.361917741005529,0.0947459060270564,3.81987735599021,0.000133518046645561,0.0335594707677387
"MT-ND4L",4.73958186546787,1.24052668592378,0.326601589136806,3.7982873543342,0.00014569935174126,0.0350953313506761
"MT-RNR2",939.113734665945,-0.916725194093687,0.219060800610579,-4.18479797178927,2.85419830208573e-05,0.0126924002956597
"NDUFB1",7.6655505709084,0.580746866842697,0.156957460517139,3.70002715977482,0.000215576394241113,0.0445088262538526
"PHGR1",2.95730278687765,2.47029237485893,0.504792112490338,4.89368259474581,9.89664066064508e-07,0.000912088618695707
"PHLDA1",15.361899172057,-1.48534315017529,0.326829069357117,-4.54470941981083,5.50110903626281e-06,0.00353354570429281
"RCE1",1.15679728629769,-1.04994490838152,0.27167159471982,-3.86475777662493,0.000111199496982288,0.0297715398992786
"RGS5",14.150579078104,4.11333670773629,1.09497844125174,3.75654583941767,0.000172274727687344,0.0398368080304215
"RNA18S5",115.18441537036,1.59176041728464,0.32671209014971,4.87205850434014,1.10441451839992e-06,0.000912088618695707
"RPL36",75.4485143957191,0.263460306316018,0.0709701535248286,3.71226907694158,0.000205409442769626,0.0439804440241189
"RPS27",158.886835448545,0.365446253991627,0.0940800176720278,3.8844194870967,0.000102574676068127,0.0296492101174922
"RPS29",42.0399894124365,0.519176568825616,0.126539680168315,4.10287562079372,4.08046636134159e-05,0.0168494114535112
"RPS4X",165.678650741841,0.523382814812501,0.0762876837663309,6.86064629273085,6.85497024588121e-12,9.90714574785982e-09
"RPS4Y1",14.5800816048388,-7.17178462952515,0.281155956023322,-25.5082080812481,1.59840440005545e-143,9.24037583672057e-140
"SNHG9",3.02809755606082,1.19347874179837,0.303222097559598,3.93598867432079,8.28548804576171e-05,0.02576851856478
"TPRA1",2.71077901403462,-0.772718985359363,0.200176276385317,-3.86019262278596,0.000113297678219016,0.0297715398992786
"XIST",6.21710398837213,6.41092000495266,0.395094122793646,16.2263107322936,3.28626761298428e-59,9.49895653533105e-56
