"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CASK",0.584231944785548,-1.57213770252815,0.432832616672836,-3.6322070980073,0.000281007453128766,0.0323266503719959
"CEBPZ",1.27047811821806,0.818392387046332,0.21463264130244,3.81299126768481,0.000137294965230771,0.0232676828575814
"CLK1",5.12274876971345,0.89088488835418,0.254503337596815,3.5004841066781,0.000464413930483326,0.0456998288690125
"CMPK1",5.80799296628465,0.512673734520771,0.147532825768592,3.47498078376747,0.000510889947102325,0.0487021807386138
"COX11",1.41440802456349,0.703895774961998,0.189725941019588,3.71006606254927,0.000207205171189779,0.0267451957954862
"CWF19L2",1.07564121129868,1.18309154557118,0.270922940156485,4.36689320176366,1.26026310074457e-05,0.00349493871711029
"DDX3Y",0.474001025170703,-2.49964829524719,0.32669177237941,-7.65139653515417,1.98808239469242e-14,2.02154844833641e-11
"EIF1AY",1.50242401064272,-4.26907275979154,0.229549806877223,-18.5975881133061,3.36092569271561e-77,1.0252503825629e-73
"FAM118A",2.28714974701776,-1.69490338633153,0.360156511223504,-4.70601900427594,2.52600980808883e-06,0.000906540343479409
"IGHA2",61.1205956198406,1.54435561106243,0.42694464161179,3.61722682648556,0.000297776336651497,0.032441668391264
"IGHG1",25.0307776243094,2.37679660115455,0.636041397098433,3.73685834286463,0.000186333828539985,0.0267451957954862
"IGHG3",43.1216105029078,3.08627646846685,0.755669211140969,4.08416331241939,4.42359131663976e-05,0.00950470180985188
"IGHG4",20.1549406632378,2.99925536006114,0.802263903069991,3.73848972711349,0.000185129056156683,0.0267451957954862
"IGLC2",45.3264741051094,2.78713745051029,0.516717054574897,5.39393353835256,6.8931723523084e-08,3.23501880934104e-05
"IGLC7",13.3777622415285,-3.03340848842364,0.837308630026744,-3.62280810162765,0.000291422024333679,0.0323266503719959
"IL16",2.98414201982225,0.712130385263628,0.168937174715334,4.21535630901603,2.49384136736436e-05,0.00633955257595416
"METAP2",2.01246289559884,0.779619483125345,0.223410906143847,3.48962141813871,0.000483705265035382,0.0468426320949344
"MT-RNR1",65.3314454553906,-0.824301754352982,0.22723286171746,-3.62756402451118,0.000286107842111579,0.0323266503719959
"MT-RNR2",239.221462435963,-1.36191129668808,0.208655075371156,-6.527094029539,6.70579526434272e-11,5.8445795582507e-08
"MT2A",4.67685980348922,-1.1244428390401,0.303367297461435,-3.70653939448777,0.000210110566628643,0.0267451957954862
"MTRNR2L1",15.2759293492316,-3.07414371372395,0.552935031036289,-5.55968340071077,2.70264462215029e-08,1.37406956997824e-05
"NDUFB1",4.96767699654382,0.699527859069945,0.187050707055785,3.73977660967259,0.000184183867685193,0.0267451957954862
"PHGR1",7.09884331630454,1.33804210873839,0.370670022730018,3.609793149399,0.000306441277574409,0.0327999690259907
"POMP",10.0192232743517,-0.688681419986931,0.186629377496489,-3.69010189727438,0.000224164242432023,0.0273525208615554
"PSIP1",2.0167842243478,0.822408721124207,0.220469182450412,3.73026611693988,0.000191277631961573,0.0267451957954862
"PSMD5-AS1",0.981401023329664,1.12188902937421,0.271868434047018,4.12658804361298,3.68185083264654e-05,0.00831961923332464
"REST",1.2991657804781,0.705821411699097,0.203507447570515,3.46828295536717,0.00052379545282702,0.0491642470415023
"RFTN1",0.765725638027205,1.18095354828379,0.325837964268446,3.62435835534145,0.00028967972440587,0.0323266503719959
"RP1-3J17.3",0.542551740416057,2.27196835091457,0.633641229067249,3.585575317217,0.000336335913827804,0.034597469139812
"RP11-347P5.1",2.61066782495188,1.11612278860427,0.267299391897802,4.17555304065566,2.97262978172465e-05,0.00697539011473158
"RP4-717I23.3",1.09677048671904,0.837049275651736,0.219332366202622,3.81635091137647,0.000135439848793972,0.0232676828575814
"RPL35A",102.843420479138,0.193483303911601,0.0474309568906298,4.07926208104446,4.51788809188174e-05,0.00950470180985188
"RPL36",77.7491821402535,0.229028105352933,0.0500210472785584,4.57863475103822,4.68020618654051e-06,0.00158632988578243
"RPL37A",59.159371792547,0.303056011082534,0.0843155472330232,3.59430758653533,0.000325255409887615,0.0342135044090404
"RPL41",306.431885026947,0.143023950984239,0.0382991279446579,3.73439184283538,0.00018816933408802,0.0267451957954862
"RPL8",134.713885912615,0.276479860397141,0.0646168102672365,4.27876057721977,1.87936883972071e-05,0.00498523012658088
"RPS18",292.059582572699,-0.168693800057831,0.0453263619877903,-3.7217590969086,0.000197839724318054,0.0267451957954862
"RPS21",37.404299515629,0.390179041313416,0.0825839226606222,4.72463681480539,2.30526973026724e-06,0.000906540343479409
"RPS27",218.829513139107,0.564856776379367,0.0925389484189605,6.10398957444422,1.03453037142908e-09,7.88958724511102e-07
"RPS28",102.034318921595,0.485430571929877,0.0625142669951264,7.76511659278866,8.15701528127598e-15,9.95319004621295e-12
"RPS29",83.3460311508956,0.809180936384526,0.135177157694694,5.98607745705168,2.14962028619345e-09,1.4572037073407e-06
"RPS4X",204.885600517657,0.580433801321451,0.0499538489886797,11.6194009685417,3.28430957754019e-31,5.00939318314317e-28
"RPS4Y1",12.0479286655351,-7.29698533651838,0.221142503384918,-32.9967565023777,9.04082481392081e-239,5.51580721897309e-235
"RSRC2",3.36204412905228,0.603400430037598,0.151411416057545,3.98517130180111,6.74314617858502e-05,0.0132709467211443
