,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IGJ,101.293386,2.271417047,0.497457205,4.566055179,4.97E-06,0.00115147
APOE,4.858346125,2.204586585,0.611584037,3.604715709,0.000312495,0.024516798
IGKC,285.4897385,1.90268271,0.529374993,3.594205873,0.000325382,0.024739303
KLF2,2.138946866,1.606446407,0.338113592,4.751203284,2.02E-06,0.000522557
EIF5A,3.951129488,1.593737032,0.245332909,6.496221963,8.24E-11,6.92E-08
STAT1,2.601630807,1.510633456,0.297072012,5.085074991,3.67E-07,0.000129953
HIST1H4C,8.422751649,1.478863859,0.344482461,4.293001902,1.76E-05,0.003116794
ZFX,0.698936938,1.462356487,0.304548483,4.80171982,1.57E-06,0.000440399
SAMD9L,1.235747213,1.33819863,0.298685307,4.480296142,7.45E-06,0.001565097
PRMT10,2.502280174,1.280390225,0.292820221,4.372615459,1.23E-05,0.002291307
GABARAP,3.197909722,1.264582816,0.314719779,4.01812311,5.87E-05,0.007720768
PNRC2,0.700758542,1.227726796,0.338778321,3.623982762,0.000290101,0.023799974
IRF1,8.470099052,1.22179632,0.18190136,6.716806953,1.86E-11,1.78E-08
XRN1,0.749335472,1.178936943,0.283025255,4.165483198,3.11E-05,0.004850884
XPO1,0.996393384,1.111731612,0.276978407,4.013784409,5.98E-05,0.007720768
INTS6,0.655817282,1.11063606,0.282639622,3.929512969,8.51E-05,0.009693363
FBXL3,0.995826416,1.109157576,0.262234026,4.229647812,2.34E-05,0.003835688
MAP2K2,1.568488169,1.102211128,0.230347058,4.785001977,1.71E-06,0.000459541
SMC1A,1.164929707,1.079193099,0.299590552,3.602226749,0.000315503,0.024516798
TLE4,0.921672429,1.068579496,0.288634029,3.702195129,0.000213742,0.019946296
FOS,60.93041377,1.066417213,0.210937614,5.055604799,4.29E-07,0.000144132
WAPAL,1.090600997,1.065013811,0.249576969,4.267276002,1.98E-05,0.003409019
KLHL28,0.610762609,1.063077739,0.299858625,3.545263164,0.000392221,0.028959723
