"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC016831.7",0.658728527996707,2.55718411734686,0.324088765680906,4.18769257396329,2.81804881275039e-05,0.00331433852032921
"AC021218.2",0.57676596762957,3.24602667462007,0.330802505859347,6.18503983004898,6.20867916299138e-10,2.70607107401086e-07
"AC022498.1",0.255028013946416,3.13659929885248,0.509693411599531,3.79953763336866,0.000144966298183179,0.0147140792655926
"AGPAT4",0.440536848465558,3.21594006211723,0.373333912869346,5.3998310697875,6.67036785078089e-08,1.66242942463004e-05
"ALDOB",7.0381045827997,2.7877283494178,0.455315939517715,3.4870915151786,0.000488304235341323,0.0376884399141826
"ANKRD20A4",0.371939565282924,2.96872045646737,0.369345100283768,4.78880173341535,1.67780144960989e-06,0.000273223512986473
"ANKRD50",0.448754557600686,2.30519700714663,0.314558435796629,3.51348710247647,0.000442265884258355,0.0356192290153509
"ANO6",0.327800684964323,2.75805731855447,0.449421439853448,3.46680683294178,0.000526680236164458,0.0398207878557199
"AP006748.1",0.12894597449643,2.37326124294239,0.337581833178274,3.47548691200691,0.00050992687433641,0.0391534007813019
"APOL1",2.95881236687493,2.40328026259937,0.284095282347059,4.23548132393627,2.28062659194132e-05,0.00272553269886922
"APOL3",0.481385960325675,3.07023566004792,0.393164805080373,4.75687456222232,1.96613254495242e-06,0.000308472256011448
"AREG",1.43839726618571,2.36461190738374,0.331958564863715,3.50830504361852,0.000450971631602391,0.0361240465335991
"ARFGAP3",3.78923850224484,1.93096256231043,0.175552733521378,4.16377773019076,3.13024852062349e-05,0.00365253171867082
"ARHGDIB",2.53280784686064,2.47226962793591,0.230749424893238,5.51364159856328,3.51484002204155e-08,9.8276253371007e-06
"ARHGEF3",0.909226055036232,2.48575200783992,0.328524796964645,3.91371372791165,9.08873802733905e-05,0.00955219920759839
"ARSJ",0.937353466548721,2.62060298649603,0.356448959062608,3.98543171575516,6.73575462963845e-05,0.00728592320121257
"ASCC3",2.06983332974865,1.95993857572573,0.220744065663512,3.44262290105745,0.000576102026068141,0.0426862796215189
"ASPHD2",0.584840000040709,2.61299372532462,0.264493476938689,5.34226303680134,9.17933249146024e-08,2.19400851920886e-05
"B3GAT2",0.706805381535171,2.75592291106901,0.357914126546256,4.34719614473759,1.37888900759702e-05,0.00179243475470002
"B3GNT7",11.4143463739152,3.14596533946184,0.280528176048961,6.93679104491166,4.01106419686168e-12,2.2014800123442e-09
"BHLHE40",2.00885797480779,1.9067403942476,0.2018997923848,3.50045131745665,0.000464471066042306,0.0364749922596865
"BMP7",0.378422585583421,3.57638477020439,0.649035132779485,3.66141160961126,0.000250829400476281,0.0228039318138528
"BST2",1.14723995996142,3.24823155110434,0.368033519971067,5.56533967684619,2.61642241704114e-08,7.60250270551622e-06
"C2",1.9120524496768,3.81576707366588,0.341024955156989,7.67030985301859,1.71581351335145e-14,1.27133202271776e-11
"C2CD4B",0.687083568178783,3.32436347572987,0.439728377001334,4.83108115563674,1.35793635133636e-06,0.000233813300246211
"C4BPB",4.67596766465825,2.98664578593787,0.292054106382892,6.11751640155174,9.50449810526399e-10,3.80667993032181e-07
"C5orf38",0.232984670372192,3.15648249939637,0.526591407278648,3.71537110623814,0.000202905677446314,0.0192747386799803
"C6orf223",0.168350515477393,3.3623005923604,0.596964730281117,3.62215803158447,0.000292155542579063,0.0257705534849948
"CADM1",0.998153425390036,3.06991099665428,0.386026877794497,4.84399171202202,1.2725624278547e-06,0.000224501221647367
