"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAK1",1.83899718415138,-1.36999346369798,0.214654623096384,-6.38231519981205,1.74430464203017e-10,4.85669912943446e-08
"AC005540.3",0.597875080157474,-2.48661351577112,0.603090671115306,-4.12311719425635,3.73779403442867e-05,0.00111687109062892
"AC016831.7",0.368299105352776,-1.328475764253,0.278217626884867,-4.77495182144861,1.79750282268513e-06,0.00011409951855293
"AC096579.7",22.5569721117958,2.59114817834961,0.336826133034839,7.69283592992945,1.43909007238005e-14,1.17535283178187e-11
"AGR2",1.93359055835183,-2.3959153092038,0.254080802717611,-9.42973764085064,4.11115985657952e-21,1.25914548507389e-17
"B3GAT2",0.315569926878868,-1.68606100034644,0.408717096108727,-4.12525195642396,3.70329114093214e-05,0.0011092669869819
"B3GNT7",0.364755914823343,-1.44570508376858,0.45854372662834,-3.15281836783333,0.00161702385919924,0.0157473444348568
"C10orf99",0.259800167773191,-1.31245070006023,0.357755961772233,-3.66856416189037,0.000243916484236509,0.00429959834299492
"C1orf56",0.730169296432766,-1.4253733785919,0.250387509692052,-5.69266965570663,1.25068221973052e-08,1.89161825603934e-06
"C8orf4",0.368465302031096,-1.26974201402052,0.3359516921404,-3.77953748627012,0.00015711993876747,0.00312291456135543
"CCDC66",0.904824977975324,-1.30422881288256,0.179885751691872,-7.25031749661079,4.15795794128044e-13,2.31541557902848e-10
"CCL11",0.57736021735514,-2.03172603448098,0.416018456188206,-4.88374014243692,1.04092237863296e-06,7.2870514632185e-05
"CD80",0.330363414376088,-1.42555013990918,0.546579408133306,-2.60812997836446,0.00910383783684998,0.0473995398806839
"CHP1",0.491178182444513,-1.23639050470289,0.209059796088039,-5.91405199774626,3.33792433181237e-09,6.29121707523589e-07
"CLCA1",0.405869586337853,-1.55197655445737,0.337248154312424,-4.60188301881596,4.18688352271812e-06,0.000219203034345383
"CTLA4",2.01045617101903,-1.67229770373736,0.400779662952162,-4.17261118345961,3.01128571888393e-05,0.000952819126556966
"CXCL10",0.937833494279785,-1.70734086946465,0.630415383827646,-2.70827919696108,0.00676330993107887,0.0399504869651144
"CXCL3",3.535474856515,-1.56972834864645,0.482492149828176,-3.25337593410682,0.00114042512738904,0.0124300251206789
"DEFA5",0.487281929932575,-2.23851514128346,0.691792223012491,-3.23582004367667,0.00121293826463459,0.0129607872340908
"EXOSC6",0.237105508380179,-1.22344821298443,0.3038845675469,-4.02602943236206,5.67265916777352e-05,0.00151406857220901
"FAM102B",0.162507034201785,-1.21319746222719,0.344699887622729,-3.51957603059918,0.000432237129774001,0.00631148638481678
"FAM118A",2.40851574604376,-1.9848831488445,0.219101011245204,-9.05921491445399,1.31392825748723e-19,3.21938701649522e-16
"FAM3D",0.463011762500356,-1.31758901101081,0.279552717717063,-4.71320408462046,2.43851748817877e-06,0.000145728184135015
"FCGBP",0.651993570010758,-1.24974016503765,0.268388498016551,-4.65645947674176,3.21693562264964e-06,0.000178328861145162
"GPX2",0.549211131774429,-1.71750888349319,0.241047982138564,-7.12517428379009,1.03949070992949e-12,5.09392027493845e-10
"HIST1H1E",0.122045546892986,-1.3716486535506,0.458755630949476,-2.98993311692267,0.00279038538724576,0.0224164009043592
"HNRNPH1",2.74437309592845,-1.37663350043976,0.157400178944004,-8.74607328705454,2.20905664678788e-18,4.51052549663305e-15
"IGFBP2",0.190707991399529,-1.35031915702589,0.462969012673823,-2.91665126619874,0.0035381111505937,0.0261236378151958
"IGHA2",503.577807738405,3.13868512901983,0.314029569089764,9.99487130500967,1.60495574276222e-23,1.966231280458e-19
"IGHG1",16.6204996243381,-2.38899968446335,0.382813791680064,-6.24063117992351,4.35808731602521e-10,1.08961076956377e-07
"IGHG3",32.3952770583541,-4.13053297766939,0.432480354143733,-9.5507991012619,1.2869970370471e-21,7.88350035043201e-18
"IGHG4",16.9062306447839,-2.83580156354775,0.452535041134357,-6.26647951159611,3.69301950616237e-10,9.42566291041565e-08
"IGHV2-70",0.146640649615974,-1.42964755216005,0.539550609176341,-2.64970056162571,0.00805631388232134,0.0444184974672901
"IGKC",970.889216259834,2.00618685274809,0.354667690756154,5.65652554499927,1.54467997590211e-08,2.25284218866389e-06
"IGLC2",259.611819613525,1.65833222826914,0.366153618741844,4.52906141954136,5.92462765138573e-06,0.000293856734239379
"IGLC7",29.2895744900924,1.43781059053819,0.476584922040235,3.01690322971822,0.00255371321434305,0.0212497798855197
"IGLL5",26.8731310272665,2.07604658536613,0.438603902934381,4.73330622795833,2.20891838262037e-06,0.00013396761933407
"IGLV1-40",1.78937340960554,1.56128746988772,0.321031490881401,4.86334678757265,1.1541737158334e-06,7.85543455148611e-05
"IGLV1-51",1.50429600166373,1.5362822650369,0.328174406771407,4.68129821624699,2.85063899553485e-06,0.000163192422122885
"IGLV2-11",1.48821292529845,1.86190373974313,0.32822922286997,5.67257151408708,1.40669766186987e-08,2.07631964524914e-06
"IGLV2-14",2.00801194645885,1.22479710340423,0.307915814000308,3.97770120180643,6.95847359044198e-05,0.00175468264205426
"IGLV2-23",1.73836763900333,1.20691684021778,0.361440136924969,3.33918875331857,0.000840234506032609,0.0101316072179188
"IGLV2-8",1.46164430653791,1.96329310743028,0.350677183216296,5.59857670072402,2.16118780891464e-08,3.00871725534241e-06
"IL17A",3.48768001563419,-2.18758893803293,0.579932144587634,-3.77214637686351,0.000161849255801126,0.00317758851413398
"IL2RA",1.22336530961267,-1.84313621606235,0.363990548810416,-5.06369251093479,4.11212722077531e-07,3.5477232804027e-05
"ITLN1",0.829050086359094,-2.43496788303971,0.31184607579843,-7.80823640895714,5.79937301135625e-15,5.0748656258661e-12
"KLRB1",16.1899960361113,-1.23376448009843,0.35034664492402,-3.52155357550519,0.000429025965268585,0.0062795664283219
"LCN2",0.393612948699008,-1.68003449157965,0.357460829008606,-4.69991214488903,2.60273438233922e-06,0.000154039125207912
"LINC00861",0.610522051135492,-1.20792275117848,0.390510138142703,-3.09319178478555,0.0019801612226627,0.0179165104422753
"LY96",0.795874780522438,-1.577887745303,0.384532071941419,-4.10339698672359,4.07127772624437e-05,0.00119344073718546
"MARCKS",1.60363213056748,-1.36852052204768,0.388398858798209,-3.52349264434552,0.000425898918413905,0.00624125316924491
"MIR181A1HG",0.34915568946052,-1.46159810232131,0.307978859606702,-4.7457741228986,2.07710401638554e-06,0.000128518188407774
"MMP1",0.388314189331791,-1.36731566477071,0.518536893253776,-2.63687248209269,0.00836742795546485,0.0452668716975308
"MT-ND3",48.4984726552788,-1.77421410785753,0.239468590179841,-7.40896376650103,1.27290074487969e-13,8.20753001343216e-11
"MTRNR2L1",13.8144127454238,-2.18917216883096,0.44859832674475,-4.88002749523537,1.06071051652786e-06,7.36443693715562e-05
"MUC4",0.124848413243405,-1.20078779399604,0.379738962300404,-3.16214008360334,0.00156614204481804,0.0154023134712964
"OLFM4",0.364838896696385,-2.0283715976788,0.326129985054317,-6.2195188747854,4.98681634842575e-10,1.19791151146204e-07
"PIGR",1.41189937116139,-1.43284323035164,0.253897595054218,-5.64339032059624,1.6673375915926e-08,2.40312386289423e-06
"PIP4K2A",1.08800335112017,-1.41101857070635,0.2150700041325,-6.56074089177518,5.35410848588566e-11,1.72613639633119e-08
"PLA2G2A",0.510569226667453,-1.91101617116753,0.298973484859331,-6.39192526409717,1.63809964188201e-10,4.66706016574338e-08
"PPAP2C",0.360197118187797,-1.20742151048398,0.417302301850624,-2.8933976762874,0.00381098441621115,0.0274052010983798
"PRSS23",0.165944303425804,-1.44133031864865,0.417919093666858,-3.44882619744002,0.000563028969646804,0.00757153447545882
"PUS7L",0.544406024031571,-1.21680155676734,0.196469737542565,-6.19332815316515,5.89069080020085e-10,1.3616387357219e-07
"RASGRP1",0.669582528878589,-1.25990472392772,0.282051792801343,-4.46692684139436,7.93512505573886e-06,0.000372464433171865
"RCAN1",0.193718060927328,-1.27062104603863,0.336075778567032,-3.78075757633097,0.000156351864042313,0.00311596216080611
"REG1A",0.567343171153556,-2.38258624176251,0.589056368000944,-4.04475084421579,5.23787992606804e-05,0.00143877280211344
"RORC",0.477314029046801,-1.3033266547592,0.444236381543541,-2.93385843417567,0.00334776862309573,0.0250967724552484
"RP1-3J17.3",0.552279313260274,-1.45881509665463,0.441050537665331,-3.30759169771509,0.000941018985577407,0.010917067795747
"RP11-1143G9.4",1.6824337140756,-2.05681128721278,0.40935770694522,-5.02448409378066,5.047876331647e-07,4.11456178916469e-05
"RP11-138A9.2",0.399236847158743,-1.60942247827074,0.273463699647077,-5.88532401319739,3.97274916926275e-09,7.15737501068206e-07
"RP11-294J22.6",0.165741746987347,-1.37183636498634,0.445314599340167,-3.08060047215839,0.00206583643228329,0.0185274979003679
"RP11-386I14.4",0.442825090321926,-2.26430829525871,0.462040377147743,-4.90067190498953,9.55094443034291e-07,6.7635040587359e-05
"RP11-841O20.2",0.142557439710284,-1.33979020548961,0.506151414401635,-2.6470146429868,0.0081205836629448,0.0445323502483155
"RP4-594I10.3",0.110999057298197,-1.20691418834171,0.424097060860691,-2.84584426473582,0.00442938515799605,0.0303661989762785
"RPL39",55.3243819612821,-1.41860465401328,0.193494884849969,-7.33148400854742,2.27617988658039e-13,1.32787999002364e-10
"S100A16",0.302858296828036,-1.21199996772416,0.321660360009786,-3.7679494224507,0.000164594039197885,0.0032059815527816
"S100P",0.23011313715602,-1.54403916677181,0.387095050514214,-3.98878560891109,6.64124089547712e-05,0.00169857708163863
"SDC4",0.229003160400583,-1.23855962293695,0.31685397813461,-3.90892874449178,9.27063008230064e-05,0.00212324819121547
"SMCR5",0.241316349002794,-1.46948235730944,0.350816829037073,-4.18874533853719,2.80500954377104e-05,0.000894900310435912
"SMIM22",0.344291612887038,-1.35894260635802,0.315691894169194,-4.30464839755974,1.67251150558743e-05,0.000630459644767742
