"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC004069.2",1.26376694193833,-1.25468239763103,0.409840138224696,-3.06139462832005,0.00220308520280005,0.0433753006390742
"AGPAT4",0.440536848465558,-1.3340492645452,0.399223617015094,-3.34160908244756,0.000832942800489896,0.0239632510256248
"ALDOB",7.0381045827997,-1.73624147960992,0.49623098516039,-3.49885745052526,0.000467256316524702,0.0173821752093289
"ANPEP",41.7079025846826,1.28994405089972,0.32574155705439,3.96002297822973,7.49425519637083e-05,0.00533741350006085
"AQP8",233.426841699832,1.78313960510924,0.403680850707923,4.41720136583691,9.99870735097061e-06,0.00128045392987518
"AREG",1.43839726618571,-1.26218137034488,0.361191540400126,-3.49449316821385,0.000474962765313531,0.017432682387401
"ASPHD2",0.584840000040709,-1.2350697852663,0.281224300173292,-4.39176054311538,1.12436492957905e-05,0.00141484216486421
"C1orf222",0.32474238388992,-1.21548607496012,0.402365933997765,-3.02084737364191,0.00252068384751138,0.0470668592997899
"C4BPB",4.67596766465825,-1.59353735692886,0.317047217121377,-5.02618307581234,5.00338262911743e-07,0.000172390357204663
"CA7",16.8210737384441,2.25076352742843,0.473466405197543,4.75379774091753,1.99630754575589e-06,0.000442359098604999
"CADM1",0.998153425390036,-1.39410034329525,0.41600760992862,-3.3511414455482,0.000804791839709602,0.0236710217732473
"CASP5",3.42284686552508,-1.25008229070587,0.294248768431422,-4.24838580419484,2.15316355713058e-05,0.00226850357669662
"CCL23",3.73650906149289,-2.80503500943337,0.895761365898055,-3.13145343863,0.00173943365675722,0.0379888468767395
"CCL26",0.627018119209532,-1.65970179391542,0.501878510628974,-3.30697919668928,0.000943078954517931,0.0259454288038574
"CD3E",0.295538807224086,-1.58835595536181,0.414941258242758,-3.8279055741248,0.000129238315708688,0.00776019778680677
"CD52",1.04251035060744,-1.5398394467102,0.338667311454823,-4.54676136322537,5.44777072377447e-06,0.000887631155957635
"CD69",0.374431241251062,-1.49385593489072,0.352107406425417,-4.24261434900303,2.20930905729184e-05,0.00227468704147064
"CD74",97.2584618706885,-1.6356323550334,0.314606065273518,-5.19898544744007,2.0037921109688e-07,8.70445225982149e-05
"CDH3",0.439363499064763,-1.86678938786663,0.378969846146617,-4.92595758435198,8.39482080358039e-07,0.000242962903697224
"CEP19",0.166921897201565,-1.20593276854245,0.393037485637873,-3.06823855893873,0.00215324648495597,0.0428016894008213
"CFB",2.31533263742724,-1.23210671153719,0.262552756703474,-4.69279670496369,2.69495264995519e-06,0.000534228216404131
"CLIC3",1.51038473625565,-1.26020136260314,0.338692409470084,-3.72078419051328,0.000198605105949125,0.0105262743151894
"CMTM7",1.2408384147429,-1.30856274993996,0.410908692591191,-3.18455845187446,0.00144975028985636,0.0342799615106395
"COL16A1",1.73640701937996,-1.34862252258035,0.364086821046026,-3.70412342502741,0.00021212296500647,0.0109629693807451
"CRABP2",0.608356470858569,-2.86849089123445,0.640791567171033,-4.47648040048071,7.58836308802697e-06,0.00107052249381532
"CTC-425F1.4",0.221142155530089,-1.2621209579361,0.40832191559957,-3.09099489818671,0.00199487061475192,0.0411221832850071
"CTD-2047H16.2",2.10492639168972,-1.26291987548389,0.277636046029199,-4.54883252209644,5.39443520518961e-06,0.000887631155957635
"CTD-2228K2.5",34.2031040317593,1.55936756503071,0.30409218811442,5.12794351837796,2.92924288874546e-07,0.000117747427341766
"CTD-2521M24.9",0.318456952065518,-1.62419334477519,0.331414713821702,-4.9007882783653,9.54528810134293e-07,0.000266964596204811
"CXCL1",16.7511981658532,-2.36576904058645,0.389293393609027,-6.07708499405574,1.22386901714521e-09,2.53008693530119e-06
"CXCL3",17.3575232251504,-1.39094894701167,0.291582037661755,-4.77035196737742,1.83904295201565e-06,0.000415824852478413
"CXCR4",0.401630672635039,-1.88289779492205,0.449121365424134,-4.19240307827242,2.76015016664064e-05,0.00262777191193794
"CYTIP",0.375620441636633,-1.22630080470587,0.378087089521452,-3.2434347500678,0.001180978573392,0.0302476830717799
"DEFA6",3.83622462574815,-2.20657005221235,0.718159676899328,-3.07253403830645,0.00212249625250334,0.0426299164464514
"DNALI1",1.28771873478725,-1.21318031850369,0.364861732708041,-3.32504126837127,0.00088405448361683,0.0247413471656262
"EDARADD",1.02316633960236,-1.29799003036205,0.416602762640346,-3.11565391966113,0.00183537535551196,0.0393477285475757
"F3",1.31057624306477,-1.27688424436257,0.300303028886656,-4.2519858993647,2.11883204267134e-05,0.00225453077128654
"FAM167B",0.296538688693189,-1.28981657577208,0.424167158473148,-3.0408214073314,0.00235933729341887,0.0454620106165972
"FAM227A",0.673637338462616,-1.21253970211247,0.398831029971247,-3.04023411167352,0.00236394316816236,0.0454901882798904
"FXYD5",4.26580392297933,-1.93294594071032,0.395209207283365,-4.89094359414658,1.00353722243288e-06,0.0002685025106808
"GBP1",1.53339437146827,-1.44199210001734,0.284994837633595,-5.05971305301763,4.19887880024036e-07,0.000151904937795695
"GBP4",0.720591151156152,-1.5284706987815,0.339740286927252,-4.49893862339848,6.82935693689164e-06,0.00101884148694597
"GCG",17.9298125434147,5.34275643774097,0.732604368317656,7.29282634501623,3.03519209740121e-13,1.09805662103732e-09
"GNA15",0.290846746179592,-1.26646359291477,0.411036082756188,-3.08114943199766,0.00206203134547574,0.0419257958142543
"HCLS1",0.248901409906373,-1.34962555204487,0.362634752856803,-3.7217214881162,0.000197869198844739,0.0105262743151894
"HIST1H1E",0.419053236296586,-1.73414791940582,0.354075549134872,-4.89767769517815,9.69759261119928e-07,0.000266964596204811
"HIST1H3G",0.239451719259864,-1.33233023076801,0.412212522485281,-3.23214399876847,0.00122865123982484,0.0308277033686857
"HLA-DMB",1.87850012301282,-1.61931203484489,0.424940074365322,-3.8106832763736,0.000138583225679698,0.00811918161461907
"HLA-DPA1",9.78706573615943,-2.28624114534077,0.424360625934951,-5.38749593062204,7.14460927918255e-08,5.16948204395253e-05
"HLA-DPB1",12.3901442523916,-2.34571617815568,0.395843525103605,-5.92586724146045,3.10653491045314e-09,4.0867878808334e-06
"HLA-DQA1",0.467808890331837,-2.34527573307276,0.586355665679577,-3.99974941890366,6.34095879394352e-05,0.00490695265813672
"HLA-DQB1",5.93841143192932,-1.45978730081509,0.477534979763872,-3.0569222416689,0.00223622278061467,0.0437559494020395
"HLA-DRA",46.5137510012938,-1.59264552554598,0.425067455005824,-3.74680655220749,0.000179100096618885,0.00974344924124771
"HLA-DRB1",38.4502862280747,-1.68034727716732,0.330663600757397,-5.08174251208306,3.73988145805725e-07,0.000138768780973196
"HLA-DRB5",6.14092851731108,-1.89935690074104,0.414397535588313,-4.58341746179682,4.57437495713264e-06,0.000785249092054407
"HMGCS2",69.9641498268426,1.46507626244308,0.174629065623925,8.38964726294887,4.87602948164956e-17,2.35203408763169e-13
"ICAM2",2.02845301189912,-2.32966416684547,0.514527018455343,-4.52777810160356,5.96071262888402e-06,0.000937581222310659
"IGHA1",15.0382701464465,-1.35559376468604,0.357090008174196,-3.79622429542962,0.000146916584671628,0.00837019644402809
"IGHA2",1.70276112023317,-2.39894944701152,0.397102326663458,-6.04113671951515,1.53032234635766e-09,2.76816183426771e-06
"IGHG1",4.31223237134466,-3.50639259910094,0.70758061526717,-4.95546729721672,7.21566587053432e-07,0.000217537293359379
"IGHG3",3.71707988749726,-3.74824428123035,0.662914530267002,-5.65418935638757,1.56583512416457e-08,1.38028930507513e-05
"IGHG4",2.57784401957301,-3.992969068038,0.762840806893032,-5.23434120455738,1.65574345964872e-07,7.9867545348589e-05
"IGHM",0.529739216549978,-2.05974760022584,0.574268409051289,-3.58673325532326,0.00033484654230324,0.014155244914494
"IGKC",8.39009492949897,-3.79006353382927,0.407827436799265,-9.2933019994306,1.49574484825728e-20,1.08224618495655e-16
"IGKV4-1",0.408795588306884,-2.40023654627325,0.7428635693091,-3.23105970656979,0.00123332174174998,0.0308277033686857
"IGLC2",2.07362335821975,-1.73615111381549,0.466656030246756,-3.72040861209369,0.000198900707519325,0.0105262743151894
"IGLC3",1.57805752916376,-1.28542103454581,0.376495603957743,-3.41417275801735,0.000639759956693697,0.020665103422577
